"FBgn0000003"; "7SLRNA:CR32864"; 6822498 6822796
"FBgn0000008"; "a"; 22136968 22172834
"FBgn0000014"; "abd-A"; 16807214 16830049
"FBgn0000015"; "Abd-B"; 16927212 16972236
"FBgn0000017"; "Abl"; 16615866 16647882
"FBgn0000018"; "abo"; 10973443 10975293
"FBgn0000022"; "ac"; 370031 370947
"FBgn0000024"; "Ace"; 13222951 13259517
"FBgn0000028"; "acj6"; 15350239 15379064
"FBgn0000032"; "Acph-1"; 29991144 29993411
"FBgn0000036"; "nAChRalpha1"; 24393896 24457157
"FBgn0000037"; "mAChR-A"; 24378630 24390294
"FBgn0000038"; "nAChRbeta1"; 4429349 4435993
"FBgn0000039"; "nAChRalpha2"; 24485428 24491147
"FBgn0000042"; "Act5C"; 5900861 5905399
"FBgn0000043"; "Act42A"; 6013910 6015689
"FBgn0000044"; "Act57B"; 20944021 20946431
"FBgn0000045"; "Act79B"; 21985210 21987190
"FBgn0000046"; "Act87E"; 13425983 13428375
"FBgn0000047"; "Act88F"; 15439969 15442177
"FBgn0000052"; "ade2"; 6041181 6046050
"FBgn0000053"; "ade3"; 7014623 7023898
"FBgn0000055"; "Adh"; 14615552 14618902
"FBgn0000056"; "Adhr"; 14615552 14618902
"FBgn0000057"; "adp"; 18151704 18154060
"FBgn0000061"; "al"; 378112 387439
"FBgn0000063"; "Mps1"; 17671271 17673828
"FBgn0000064"; "Ald"; 26254069 26261591
"FBgn0000071"; "Ama"; 6762593 6765261
"FBgn0000075"; "amd"; 19110154 19114110
"FBgn0000077"; "amx"; 9245915 9247336
"FBgn0000078"; "Amy-d"; 17124764 17126369
"FBgn0000079"; "Amy-p"; 17118636 17120303
"FBgn0000083"; "AnxB9"; 21065241 21070917
"FBgn0000084"; "AnxB10"; 20171445 20173514
"FBgn0000092"; "CG2650"; 2692732 2693886
"FBgn0000094"; "Anp"; 30209948 30210382
"FBgn0000097"; "aop"; 2156484 2178754
"FBgn0000100"; "RpLP0"; 22075867 22077487
"FBgn0000108"; "Appl"; 530501 579044
"FBgn0000109"; "Aprt"; 1883795 1885019
"FBgn0000114"; "bru1"; 12175004 12313438
"FBgn0000115"; "Arl1"; 15983135 15984362
"FBgn0000116"; "Argk"; 9048781 9066027
"FBgn0000117"; "arm"; 1891401 1900646
"FBgn0000119"; "arr"; 13453640 13483229
"FBgn0000120"; "Arr1"; 18078269 18081307
"FBgn0000121"; "Arr2"; 8647261 8648936
"FBgn0000137"; "ase"; 460747 463176
"FBgn0000139"; "ash2"; 24650125 24653376
"FBgn0000140"; "asp"; 24753849 24760513
"FBgn0000146"; "aub"; 10997819 11001476
"FBgn0000147"; "aurA"; 11963124 11964826
"FBgn0000150"; "awd"; 31745172 31746077
"FBgn0000152"; "Axs"; 16680089 16683895
"FBgn0000153"; "b"; 13821248 13823979
"FBgn0000157"; "Dll"; 24814822 24835667
"FBgn0000158"; "bam"; 25243039 25245057
"FBgn0000163"; "baz"; 17160006 17200728
"FBgn0000166"; "bcd"; 6755842 6759466
"FBgn0000173"; "ben"; 13996345 13999805
"FBgn0000179"; "bi"; 4412856 4485647
"FBgn0000180"; "bib"; 9984645 9995538
"FBgn0000181"; "bic"; 12870249 12871794
"FBgn0000182"; "BicC"; 16042047 16048757
"FBgn0000183"; "BicD"; 17459605 17473215
"FBgn0000206"; "boss"; 25961994 25966948
"FBgn0000212"; "brm"; 15970082 15982869
"FBgn0000216"; "Brd"; 14972667 14973198
"FBgn0000221"; "brn"; 4104342 4105791
"FBgn0000227"; "Bsg25A"; 4683052 4684461
"FBgn0000228"; "Bsg25D"; 5271728 5278548
"FBgn0000229"; "bsk"; 10247502 10250501
"FBgn0000233"; "btd"; 9694186 9697558
"FBgn0000239"; "bur"; 21174182 21179683
"FBgn0000241"; "bw"; 23527805 23538499
"FBgn0000244"; "by"; 9528238 9533011
